space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
832709.6896897375,2678400.0,0.311,8662/1578/9
571406.6989976134,2419200.0,0.236,8662/1578/9
418659.93021479715,2678400.0,0.156,8662/1578/9
253815.91131264917,2592000.0,0.098,8662/1578/9
148003.40878281623,2678400.0,0.055,8662/1578/9
17920.63202863962,2592000.0,0.007,8662/1578/9
5513.460572792364,2678400.0,0.002,8662/1578/9
11002.637899761337,2678400.0,0.004,8662/1578/9
96136.39589498808,2592000.0,0.037,8662/1578/9
257302.25312649165,2678400.0,0.096,8662/1578/9
522893.3013365155,2592000.0,0.202,8662/1578/9
661239.5821002385,2678400.0,0.247,8662/1578/9
