dfk_flurst,well_type,st_x,st_y
8662/1569/10,extraction,680247.131937518,5335742.83534161
8662/1569/10,extraction,680248.721895183,5335739.07365267
8662/1569/10,extraction,680250.190358072,5335735.59941108
8662/1569/10,extraction,680255.035091964,5335737.05963348
8662/1569/10,injection,680246.746374892,5335743.74754658
8662/1569/10,injection,680251.839280935,5335745.60593853
8662/1569/10,injection,680254.601517635,5335738.20823346
8662/1573/10,extraction,680217.072784103,5335794.66167301
8662/1573/10,extraction,680218.682358764,5335790.93153678
8662/1573/10,extraction,680222.482658148,5335785.48123449
8662/1573/10,injection,680213.596625968,5335802.71756351
8662/1573/10,injection,680216.044102798,5335800.3317405
8662/1573/10,injection,680219.027351814,5335793.45088183
8662/1573/11,extraction,680207.424719507,5335778.76074794
8662/1573/11,extraction,680209.959592072,5335776.51511516
8662/1573/11,extraction,680216.062100388,5335758.81185225
8662/1573/11,extraction,680218.686245827,5335756.70942198
8662/1573/11,injection,680201.899890936,5335791.52093033
8662/1573/11,injection,680204.528147332,5335789.42513399
8662/1573/11,injection,680206.140483078,5335785.69943238
8662/1573/11,injection,680208.16039473,5335781.0319291
8662/1573/11,injection,680209.772734949,5335777.30622282
8662/1573/12,extraction,680232.985425363,5335796.05190998
8662/1573/12,extraction,680234.55975757,5335792.26521986
8662/1573/12,extraction,680239.527067692,5335793.57787833
8662/1573/12,extraction,680244.514033212,5335795.2663503
8662/1573/12,injection,680227.71279439,5335808.73401658
8662/1573/12,injection,680245.11010823,5335798.92895198
8662/1573/12,injection,680250.310819863,5335800.96036906
8662/1573/12,injection,680252.349978199,5335797.91943124
8662/1573/7,extraction,680222.12383186,5335763.87308705
8662/1573/7,extraction,680225.72215255,5335759.47295547
8662/1573/7,injection,680210.72931332,5335790.20288708
8662/1573/7,injection,680213.362759821,5335788.11541444
8662/1573/7,injection,680215.498277585,5335783.16641635
8662/1573/7,injection,680217.107854591,5335779.43627306
8662/1573/8,extraction,680224.210939722,5335796.57863031
8662/1573/8,extraction,680225.825030279,5335792.85573538
8662/1573/8,extraction,680228.323915253,5335787.09206978
8662/1573/8,extraction,680231.03307637,5335785.12606509
8662/1573/8,injection,680220.311308858,5335805.57312734
8662/1573/8,injection,680223.215994571,5335803.920838
8662/1573/8,injection,680225.407962065,5335798.6485597
8662/1573/8,injection,680226.982290941,5335794.8618734
8662/1573/9,extraction,680242.275288031,5335773.76746479
8662/1573/9,extraction,680243.853268921,5335769.98659719
8662/1573/9,extraction,680246.271798439,5335767.55428684
8662/1573/9,extraction,680252.551066922,5335770.02175443
8662/1573/9,extraction,680257.761895968,5335772.06937998
8662/1573/9,injection,680237.007115134,5335786.39011025
8662/1573/9,injection,680251.968020409,5335791.45553015
8662/1573/9,injection,680255.017487322,5335790.03551021
8662/1573/9,injection,680260.708501548,5335773.22726823
8662/1575/7,extraction,680167.919144674,5335808.610444
8662/1575/7,extraction,680169.486125664,5335804.81202849
8662/1575/7,extraction,680171.053108612,5335801.01361078
8662/1575/7,extraction,680188.778263654,5335808.0211717
8662/1575/7,injection,680184.978702074,5335814.638949
8662/1575/7,injection,680188.461642621,5335808.7905883
8662/1575/8,extraction,680191.513056358,5335821.23353133
8662/1575/8,extraction,680192.063581102,5335815.804355
8662/1575/8,extraction,680193.628213942,5335812.00215921
8662/1575/8,extraction,680197.718382248,5335811.81378383
8662/1575/8,extraction,680203.064185314,5335814.0779279
8662/1575/8,injection,680190.149621019,5335824.38445248
8662/1575/8,injection,680195.417405433,5335826.52343058
8662/1575/8,injection,680197.746528367,5335823.94775717
8662/1575/8,injection,680199.272339679,5335820.08328151
8662/1575/8,injection,680202.267597309,5335815.13413909
8662/1575/8,injection,680206.766635958,5335816.03977775
8662/1575/8,injection,680211.779002027,5335817.768986
8662/1575/9,extraction,680216.897057509,5335821.09407498
8662/1575/9,injection,680211.894298153,5335833.20013626
8662/1576/0,extraction,680122.145487906,5335819.38911285
8662/1576/0,extraction,680123.6843549,5335815.54564419
8662/1576/0,extraction,680125.223223834,5335811.70217326
8662/1576/0,extraction,680126.762094711,5335807.85870006
8662/1576/0,extraction,680129.773892493,5335806.37825621
8662/1576/0,extraction,680136.430914227,5335809.08153879
8662/1576/0,extraction,680141.697682901,5335811.21879086
8662/1576/0,extraction,680146.964192102,5335813.35563686
8662/1576/0,extraction,680152.230697601,5335815.49248714
8662/1576/0,injection,680136.589798456,5335825.1817889
8662/1576/0,injection,680141.833048607,5335827.28132911
8662/1576/0,injection,680147.072962024,5335829.37552617
8662/1576/0,injection,680152.312871838,5335831.46972748
8662/1576/0,injection,680154.420907107,5335828.53937833
8662/1576/0,injection,680157.223606326,5335821.81053723
8662/1576/0,injection,680159.086401834,5335818.48672927
8662/1576/0,injection,680177.370426471,5335841.50812152
8662/1576/0,injection,680182.613109612,5335843.60683025
8662/1576/0,injection,680183.041126964,5335837.98114548
8662/1576/4,extraction,680189.918413601,5335842.76322253
8662/1576/4,extraction,680190.095041558,5335836.73420849
8662/1576/4,extraction,680191.693004585,5335832.98550978
8662/1576/4,extraction,680198.504058164,5335834.25407325
8662/1576/4,extraction,680203.772866804,5335836.3947185
8662/1576/4,injection,680218.745104429,5335854.30468092
8662/1576/4,injection,680223.988011099,5335856.40382312
8662/1576/4,injection,680226.146427805,5335846.17099853
8662/1576/4,injection,680230.120327784,5335858.85907237
8662/1578/10,extraction,680175.256500573,5335855.33353148
8662/1578/10,extraction,680176.800792577,5335851.49875797
8662/1578/10,extraction,680178.433952742,5335848.39674558
8662/1578/10,extraction,680183.676653433,5335850.4954922
8662/1578/10,injection,680176.125877702,5335855.17301622
8662/1578/10,injection,680181.117780241,5335856.86940036
8662/1578/10,injection,680184.556158801,5335850.84757445
8662/1578/11,extraction,680187.100129685,5335861.15679213
8662/1578/11,extraction,680188.508284442,5335857.1036025
8662/1578/11,extraction,680191.501802937,5335853.62757434
8662/1578/11,extraction,680196.743995802,5335855.72553127
8662/1578/11,injection,680188.964677642,5335861.88319448
8662/1578/11,injection,680190.708410543,5335877.30547172
8662/1578/11,injection,680193.60853728,5335860.08000745
8662/1578/11,injection,680197.891986572,5335860.63980752
8662/1578/11,injection,680199.434602034,5335856.80233019
8662/1578/16,extraction,680184.989726285,5335911.24179139
8662/1578/16,extraction,680186.53078837,5335907.40188635
8662/1578/16,extraction,680196.747592768,5335903.58109731
8662/1578/16,extraction,680198.33623904,5335899.81751611
8662/1578/16,extraction,680199.968994068,5335896.12469594
8662/1578/16,extraction,680205.225503382,5335898.24568443
8662/1578/16,injection,680183.891707928,5335913.97775425
8662/1578/16,injection,680187.433286715,5335913.34738617
8662/1578/16,injection,680188.893759432,5335909.37818738
8662/1578/16,injection,680201.483611644,5335905.82479255
8662/1578/16,injection,680203.528578231,5335902.79331283
8662/1578/16,injection,680205.001951656,5335898.8447856
8662/1578/17,extraction,680173.955014609,5335887.70508753
8662/1578/17,extraction,680181.42553962,5335888.6358423
8662/1578/17,injection,680179.460340359,5335889.8532348
8662/1578/17,injection,680186.73538174,5335890.78270485
8662/1578/18,extraction,680161.014280051,5335889.10091824
8662/1578/18,extraction,680162.550407131,5335885.25309334
8662/1578/18,extraction,680163.964973035,5335881.70976775
8662/1578/18,extraction,680169.115683886,5335883.66095016
8662/1578/18,injection,680155.641642671,5335902.55878859
8662/1578/18,injection,680164.811166638,5335890.69691319
8662/1578/18,injection,680167.24864658,5335888.29516213
8662/1578/18,injection,680168.793333163,5335884.4610633
8662/1578/19,extraction,680150.341598064,5335884.82525222
8662/1578/19,extraction,680151.879939997,5335880.98098549
8662/1578/19,extraction,680153.305575209,5335877.41837151
8662/1578/19,extraction,680158.445614756,5335879.35241375
8662/1578/19,injection,680145.052210635,5335898.04328002
8662/1578/19,injection,680154.201164681,5335886.23767119
8662/1578/19,injection,680156.649047757,5335883.85260867
8662/1578/19,injection,680158.185175736,5335880.0047835
8662/1578/20,extraction,680124.368011417,5335889.22044721
8662/1578/20,extraction,680132.43640306,5335891.70512338
8662/1578/20,injection,680131.521481972,5335892.27190513
8662/1578/20,injection,680139.997266202,5335894.52567607
8662/1578/27,extraction,680209.463788584,5335904.04990917
8662/1578/27,extraction,680214.813360067,5335902.11344693
8662/1578/27,injection,680210.862787525,5335904.56069758
8662/1578/27,injection,680215.871810097,5335902.54038909
